id	szemely	hely	avatas	rogzites
1016	Esze Tamás	Budapest	1960	2009.10.30
1017	Albert Schweitzer	Budapest	2005	2014.05.10
1018	Friedrich Schiller	Pilisvörösvár	2013	2015.08.17
1019	Kossuth Lajos	Budapest	1890	2012.03.15
1020	Robert Koch	Székesfehérvár	2000	2011.09.18
1021	Reguly Antal	Érd	1994	2008.05.05
1022	Kelemen Imre	Zalatárnok	1995	2011.07.05
1023	Munkácsy Mihály	Szeged	1930	2010.06.13
1024	Gárdonyi Géza	Kaposvár	1961	2016.04.21
1025	Féja Géza	Vésztő-Mágor	1989	2011.10.27
1026	Erkel Ferenc	Budakeszi	1993	2008.05.04
1027	Zalka Máté	Mezőhegyes	1980	2017.01.23
1028	Görgey Artúr	Budapest	2006	2016.05.06
1029	Benedict Henrik	Budapest	1926	2008.11.14
1030	Kossuth Lajos	Szentlőrinckáta	2001	2016.04.04
1031	Kresznerics Ferenc	Celldömölk	2016	2016.07.30
1032	Wenzel Gusztáv	Szeged	1930	2012.02.16
1033	Mészáros Lázár	Kalocsa	2010	2010.05.25
1034	Jósa András	Nyíregyháza	1987	2010.07.31
1035	Bartók Béla	Budapest	1961	2017.05.29
1036	Mindszenty József	Tótkomlós	2013	2015.10.13
1037	Káldor Adolf	Budapest	1969	2010.02.14
1038	Széchenyi István gróf	Bábolna	1992	2011.04.10
1039	Harsányi Zsolt	Sárospatak	1990	2009.05.24
1040	Kossuth Lajos	Vecsés	2017	2017.09.21
1041	Bóna Kovács Károly	Salgótarján	1997	2011.04.20
1042	Balogh János	Budapest	2007	2012.08.19
1043	Móricz Zsigmond	Budapest	1952	2008.12.02
1044	Szűcs Lajos	Budapest	1999	2013.02.21
1045	Kossuth Lajos	Alsómocsolád	1991	2010.07.01
1046	Kossuth Lajos	Csongrád	1899	2009.12.27
1047	Ady Endre	Sarkad	1972	2010.04.23
1048	José Martí	Budapest	1998	2010.04.14
1049	Giacomo Puccini	Budapest	2013	2015.10.15
1050	Tamási Áron	Budapest	1992	2009.06.24
1051	Móricz Zsigmond	Kazincbarcika	1986	2009.09.03
1052	Szabó István id.	Bátonyterenye-Kisterenye	2003	2010.10.09
1053	Széchenyi István gróf	Miskolc	1991	2010.10.28
1054	Bibó István	Budapest	2005	2008.10.23
1055	Szabó Pál	Vésztő-Mágor	1986	2011.09.26
1056	Nagy Imre	Ibrány	2010	2018.11.15
1057	Petőfi Sándor	Szabadszállás	1969	2009.07.22
1058	Somogyi Károly	Szeged	1984	2008.01.18
1059	Jánosi Engel Adolf	Komló	1903	2009.05.26
1060	Walek Károly	Sopron	1962	2010.09.15
1061	Zichy Béla gróf	Fonyód	2006	2012.04.16
1062	Csanálosy József	Szentmártonkáta	2010	2016.04.12
1063	Vörösmarty Mihály	Budapest	1975	2008.12.06
1064	Kodály Zoltán	Gyöngyös	1988	2018.04.20
1065	Petőfi Sándor	Pécs	1968	2008.02.28
1066	Szabó Lőrinc	Miskolc	1980	2009.11.08
1067	Falk Richárd	Zalaegerszeg	2010	2012.09.20
1068	Hantken Miksa	Budapest	1967	2011.06.12
1069	Hunyadi Mátyás	Balatonakarattya	2010	2012.08.05
1070	Széchenyi István gróf	Szeged-Tápé	1983	2015.11.30
1071	Vági István	Nagykőrös	1969	2016.03.04
1072	Jedlik Ányos	Budapest	1935	2014.05.02
1073	Csuka Zoltán	Érd	1994	2008.05.05
1074	Kossuth Lajos	Nyíregyháza	2013	2016.12.30
1075	Gergely János	Budapest	2010	2015.08.30
1076	Somogyi László	Budapest	1998	2010.04.08
1077	Szentágothai János	Budapest	2012	2012.11.25
1078	Antall József	Miskolc	2003	2009.11.07
1079	Györffy István	Hajdúböszörmény	1984	2009.06.24
1080	Bálint Sándor	Szeged	1989	2010.06.08
1081	Tormay Béla	Debrecen	2008	2009.02.24
1082	Neumann János	Budapest	2007	2015.02.05
1083	Kossuth Lajos	Tápiószentmárton	2008	2016.05.16
1084	Novák Ilona	Budapest	1999	2013.01.09
1085	Márton Áron	Balatonalmádi	2015	2015.08.21
1086	Klauzál Gábor	Szentes	1999	2014.11.12
1087	Halász Ottó	Budapest	2017	2017.09.15
1088	Hidegkuti Nándor	Budapest	2013	2013.11.19
1089	Bene Ferenc	Budapest	2017	2017.11.24
1090	Ady Endre	Nagyatád	1964	2016.09.23
1091	Plósz Sándor	Szeged	1930	2012.02.01
1092	Csitáry G. Emil	Székesfehérvár	2013	2013.07.26
1093	Molnár Ferenc	Budapest	2002	2011.06.01
1094	Kisfaludy Károly	Budapest	1875	2012.02.14
1095	Pávai Vajna Ferenc	Hajdúszoboszló	1989	2009.04.04
1096	Beethoven	Balatongyörök		2013.11.08
1097	Tormay Béla	Budapest	1966	2009.05.14
1098	Kodály Zoltán	Balatonfüred	1978	2012.02.02
1099	Leonardo da Vinci	Pécs	1958	2008.02.07
1100	Kodály Zoltán	Békéscsaba	1975	2009.11.24
1101	Radnóti Miklós	Abda	1968	2013.07.20
1102	Vajda János	Bicske	1978	2014.02.26
1103	Darvas József	Orosháza	1987	2015.02.21
1104	Szent István	Szombathely	2008	2012.06.04
1105	Pattantyús Ábrahám Imre	Miskolc-Egyetemváros	1965	2009.11.06
1106	Cristof Traugott Delius	Miskolc-Egyetemváros	1992	2009.11.13
1107	Hauszmann Alajos	Budapest	1927	2011.12.01
1108	Kósa György	Budapest		2015.04.29
1109	Herman Ottó	Gárdony-Agárd	2014	2014.10.07
1110	Stiller Bertalan	Budapest	1913	2008.11.14
1111	Bartók Béla	Szeged	1965	2008.07.02
1112	Wartha Vince	Veszprém	1955	2011.08.07
1113	Rombauer Tivadar	Budapest	1985	2009.08.06
1114	Petőfi Sándor	Pilis	1999	2011.02.06
1115	Szabó Pál	Biharugra	1988	2014.09.22
1116	Egressy Béni	Gyöngyös	2017	2018.02.02
1117	Esze Tamás	Sátoraljaújhely	1966	2011.08.13
1118	Csiky Gergely	Budapest	1894	2017.05.24
1119	Nádasdy Ferenc gróf	Budakeszi	2012	2014.05.16
1120	Lestár Péter	Kecskemét	1986	2011.08.29
1121	Rozsnyay Mátyás	Szabadszállás	1980	2009.07.23
1122	Kátai Gábor	Karcag	1981	2009.04.22
1123	Batthyány Lajos gróf	Szombathely	2002	2011.05.16
1124	Martinovics Ignác	Budapest	2001	2010.03.05
1125	Wass Albert	Kapuvár	2008	2009.09.19
1126	Arany János	Debrecen	2014	2014.03.17
1127	Döbrentei Gábor	Somlószőlős	1995	2013.07.28
1128	Bosco Szent János	Cegléd	2009	2016.05.08
1129	Nagy Lajos író	Apostag	1972	2009.04.24
1130	Papp Simon	Bázakerettye	2012	2016.08.21
1131	Kerpely Antal	Miskolc-Egyetemváros	1987	2009.11.10
1132	Orlai Petrics Soma	Mezőberény	1997	2016.11.10
1133	József Attila	Orosháza	1962	2015.01.22
1134	Lipták András	Békéscsaba	1971	2009.11.23
1135	Joseph Haydn	Budapest	1960	2008.06.05
1136	Zsigmondy Richárd	Budapest	2006	2015.05.21
1137	Tornyai János	Hódmezővásárhely	1956	2010.02.16
1138	Csajkovszkij	Budapest	1963	2010.04.27
1140	Wincenty Danek atya	Budapest	2005	2012.06.25
1141	Pethe Ferenc	Budapest	1977	2008.07.26
1142	Gózon Gyula	Budapest	2005	2018.03.18
1143	Neumann János	Eger		2013.11.03
1144	Nyúzó Mihály	Vaja	1983	2010.06.17
1145	Csokonai Vitéz Mihály	Keszthely	1967	2017.09.09
1146	Puskin	Szombathely	1950	2011.07.28
1147	Árpád fejedelem	Tápiószentmárton	2008	2016.04.25
1148	II. Rákóczi Ferenc	Bekecs	2006	2010.04.06
1149	Kocsis Antal	Budapest	1999	2013.01.30
1150	Terplán Zénó	Miskolc-Egyetemváros	2003	2014.07.26
1151	Zichy Mihály	Szeged	1930	2010.06.16
1152	Mikszáth Kálmán	Salgótarján	1960	2013.07.17
1153	Dabasi Halász Boldizsár	Dabas	2000	2010.09.27
1154	Wass Albert	Budapest	2008	2013.07.29
1155	Vas Gereben	Fürged	1998	2011.01.10
1156	Radnóti Miklós	Kiskunhalas	1978	2010.02.06
1157	Petőfi Sándor	Kiskőrös	1862	2010.11.24
1158	Hunyadi János	Jánoshalma	1981	2010.06.24
1159	Zrínyi Miklós	Külsővat	1960	2013.05.23
1160	Kis Jankó Bori	Mezőkövesd	1969	2009.03.19
1161	Csokonai Vitéz Mihály	Hévíz	1976	2008.07.26
1162	Kőrösi Csoma Sándor	Budapest		2016.02.08
1163	Csatári József	Felsőcsatár	1984	2012.06.03
1164	Mányoki Ádám	Szokolya	1975	2010.01.10
1165	Pap Endre	Martonvásár	1996	2012.04.10
1166	Szent István	Őriszentpéter	1995	2009.09.10
1167	Ybl Miklós	Budapest		2013.05.03
1168	Probocskai Endre	Budapest	2013	2015.08.12
1169	Ady Endre	Szeged	1969	2008.05.10
1170	Auguszta Mária Lujza	Debrecen	2015	2015.10.20
1171	Almási Balogh Pál	Budapest	1864	2017.06.06
1172	Hidegkuti Nándor	Felcsút	2014	2014.08.21
1173	Ungár József	Balatonalmádi	2016	2016.11.02
1174	Pável Ágoston	Szombathely	1986	2011.07.24
1175	Kondor Béla	Budapest	1999	2010.04.06
1176	Bartók Béla	Szeged	1948	2015.08.26
1177	Fenyvesi Csaba	Budapest	2016	2016.11.10
1178	Fodor József	Budapest	1909	2009.01.21
1179	Vas Gereben	Enying	2006	2013.06.17
1180	Petőfi Sándor	Zalaegerszeg		2015.07.08
1181	Bartók Béla	Nagykanizsa		2015.06.30
1182	Petőfi Sándor	Magyarsarlós	2010	2015.04.18
1183	Tompa Mihály	Sopron	1997	2009.12.08
1184	Mócsy János	Balatonszemes	2014	2015.07.06
1185	Petőfi Sándor	Csór	2000	2013.07.01
1186	Kozma István	Budapest	2018	2018.12.06
1187	Szent Margit	Tiszadada		2018.04.18
1188	Novák Éva	Budapest	1999	2013.01.09
1189	Vágó Pál	Jászapáti	2000	2009.03.05
1190	Damjanich János	Nagykanizsa	2000	2016.01.14
1191	Rippl-Rónai József	Kaposvár	1936	2012.08.15
1192	Méliusz Juhász Péter	Mezőberény	2017	2017.04.18
1193	Harsányi János	Budapest	2007	2012.08.10
1194	Papp Simon	Gellénháza	1993	2015.12.21
1195	Luther Márton	Soltvadkert	2017	2017.10.31
1196	Kaposi Mór	Kaposvár	1988	2012.07.30
1197	Szent István	Kalocsa	1989	2017.10.17
1198	Gabányi János	Budapest	2002	2013.06.08
1199	Vedres Ferenc	Kiskunmajsa	2001	2010.09.23
1200	Kamermayer Károly	Budapest	1901	2012.04.13
1201	Csengey Gusztáv	Miskolc	1942	2011.02.15
1202	Józan Miklós	Lakitelek	2001	2010.06.23
1203	Belák Sándor	Keszthely	1989	2014.08.09
1204	Kodály Zoltán	Budapest	1968	2008.11.29
1205	Táncsics Mihály	Ganna	1964	2010.04.27
1206	Géza fejedelem	Ópusztaszer	1999	2010.05.12
1207	Görgey Artúr	Miskolc	1934	2015.05.21
1208	Kossuth Lajos	Tiszasziget	2006	2011.02.10
1209	Beszédes József	Siófok	1963	2009.05.26
1210	Hriszto Botev	Budapest	1996	2012.08.06
1211	Czine Mihály	Vésztő-Mágor	2002	2011.10.19
1212	Szent László	Mesztegnyő	2011	2012.03.13
1213	Kenézy Gyula	Debrecen	2013	2013.06.23
1214	II. Rákóczi Ferenc	Berkesz	1980	2012.08.29
1215	Liszt Ferenc	Szeged	1930	2009.12.08
1216	Pattantyús-Ábrahám Géza	Sajószentpéter	1999	2011.09.09
1217	Mindszenty József	Balatonmáriafürdő	2017	2018.09.25
1218	Baross Gábor	Budapest	1992	2010.03.27
1219	Luther Márton	Harta	2011	2016.11.01
1220	Wigner Jenő	Budapest	1997	2012.01.12
1221	Antall József	Pátyod	2000	2013.04.09
1222	Wass Albert	Zalaegerszeg	2008	2008.07.26
1223	Árpád fejedelem	Székesfehérvár	1996	2017.08.13
1224	Damjanich János	Cibakháza	2005	2017.07.31
1225	Bartók Béla	Budapest	1961	2010.11.04
1226	Vásárhelyi Pál	Budapest	2007	2014.04.18
1227	Luther Márton	Répcelak	2011	2011.05.10
1228	Giesswein Sándor	Mosonmagyaróvár	1931	2011.01.20
1229	Szent Miklós püspök	Fertőszentmiklós	2017	2018.05.01
1230	Petőfi Sándor	Pápa	1931	2010.11.09
1231	Simándy József	Balatongyörök	2006	2012.09.12
1232	Kossuth Lajos	Bácsszőlős	2004	2009.05.11
1233	Agárdy Gábor	Budapest	2007	2010.04.05
1234	Kőrösi Csoma Sándor	Hajdúnánás	1981	2009.04.19
1235	Kodály Zoltán	Szob	2008	2013.02.17
1236	Vámos Endre	Zalaegerszeg	2001	2012.09.13
1237	Beatrix	Budapest	1985	2012.06.27
1238	Semmelweis Ignác	Szekszárd	1962	2010.05.11
1239	Fazola Henrik	Miskolc	1957	2014.07.14
1240	Bauer Sándor	Budapest	2012	2012.03.21
1241	Jókai Mór	Békéscsaba	1964	2015.03.08
1242	Richard Strauss	Budapest	2014	2015.10.17
1243	Török Ignác	Pécs	1993	2008.02.07
1244	Takács Pál	Budapest	2004	2015.07.09
1245	Kossuth Lajos	Balatonkenese	1899	2009.05.16
1246	Kossuth Lajos	Albertirsa	2000	2013.04.19
1247	Vedres István	Szeged	1950	2010.04.07
1248	Kandó Kálmán	Budapest	2009	2015.01.30
1249	Balázs Ferenc	Lakitelek	2008	2010.06.23
1250	József Attila	Dunakeszi	1985	2009.11.09
1251	Kölcsey Ferenc	Szatmárcseke	1958	2017.11.18
1252	Izsó Miklós	Szeged	1930	2008.04.20
1253	Beethoven	Siófok	1906	2012.08.19
1254	Szent László	Tokaj		2016.08.07
1255	Pálóczi Horváth István	Örkény	2002	2012.06.05
1256	Sobó Jenő	Sopron	1967	2010.10.25
1257	Kossuth Lajos	Kondoros	2002	2010.05.26
1258	Lovassy László	Veszprém	1970	2015.04.06
1259	Liszt Ferenc	Szeged	1964	2015.06.10
1260	Jahn Ferenc	Budapest	2011	2012.07.14
1261	Lovász József	Salgótarján	1969	2010.07.06
1262	Gagarin	Salgótarján	1969	2010.06.25
1263	Szabó László	Szolnok	2002	2018.08.25
1264	Vági István	Győr	1973	2015.04.27
1265	Mócsy János	Budapest	1995	2009.05.23
1266	Ady Endre	Budapest	1989	2014.09.27
1267	Mindszenty József	Érpatak	2006	2010.11.25
1268	Nagy Lajos király	Mezőtúr	2001	2009.11.16
1269	Szende Lajos	Tatabánya	2018	2018.03.08
1270	Kiss János	Kőszeg	1983	2015.01.30
1271	Göndöcs Benedek	Gyula	1933	2009.10.06
1272	Ujhelyi Imre	Mosonmagyaróvár	1936	2011.04.30
1273	Nádler Herbert	Budapest	1989	2010.04.20
1274	Ady Endre	Zalakomár	1992	2015.11.18
1275	Medgyessy Ferenc	Debrecen	1999	2013.09.29
1276	Kempelen Farkas	Budapest	1978	2011.03.27
1277	Berczelly Tibor	Budapest	1992	2013.11.05
1278	Egressy Béni	Budapest	2000	2009.04.16
1279	Kelemen László	Kecskemét	1968	2008.05.12
1280	Károlyi Sándor	Budapest	1997	2008.07.25
1281	Kálvin János	Dömsöd	2017	2018.06.27
1282	II. Rákóczi Ferenc	Vaja	1999	2010.05.31
1283	Bethlen Gábor	Szeged	1930	2011.06.30
1284	Petőfi Sándor	Hencida		2013.08.03
1285	Deák Ferenc	Söjtör	1986	2014.08.25
1286	Kossuth Lajos	Tarpa	1902	2011.09.29
1287	Mikszáth Kálmán	Budapest	1953	2008.12.02
1288	Haselbeck Olga	Budapest		2015.11.01
1289	Bocskai István	Bocskaikert	2001	2011.06.05
1290	Straub F. Brunó	Szeged	2014	2014.09.02
1291	Zsigmondy Vilmos	Budapest	1895	2009.03.04
1292	Avram Hershko	Budapest	2006	2014.04.19
1293	Kossuth Lajos	Csokonyavisonta	1906	2012.06.11
1294	Illyés Gyula	Vésztő-Mágor	2003	2011.11.14
1295	Izsó Miklós	Edelény	2005	2009.12.16
1296	Móga János	Pákozd	2011	2012.09.21
1297	Bakkay József	Bugac-Felsőmonostor	1984	2016.02.04
1298	Árpád fejedelem	Bükkzsérc	2016	2017.11.21
1299	Schima Bandi	Győr	1959	2014.08.19
1300	Bolyai János	Szombathely	1989	2012.11.20
1301	Péchy László	Veszprém	2005	2011.08.24
1302	Szent László	Százhalombatta	2010	2016.03.26
1303	Lackner Kristóf	Sopron	1971	2009.08.08
1304	Stróbl Alajos	Budapest	1966	2008.12.05
1305	Szentendrey Edgár Valér	Nagykanizsa-Miklósfa	2010	2015.04.25
1306	Batthyány Lajos gróf	Nagykanizsa	2000	2016.01.12
1307	Zielinski Szilárd	Budapest	1994	2009.01.19
1308	Lévai András	Budapest	2008	2012.02.08
1309	Hilbert Károly	Győr		2018.04.12
1310	Mindszenty József	Gyöngyös	2017	2018.01.16
1311	Vásárhelyi Pál	Budapest	1968	2009.04.02
1312	Mantskovit Bálint	Vizsoly	2017	2017.10.06
1313	Lóczy Lajos	Balatonfüred	1970	2010.09.08
1314	Bereczki Máté	Budapest	1898	2009.02.16
1315	Móricz Zsigmond	Budapest	1993	2015.11.26
1316	Gazdag Ferenc	Nádudvar	2001	2013.12.22
1317	Kilián György	Budapest	1975	2017.05.11
1318	Békésy György	Budapest	2006	2015.06.04
1319	Rados Jenő	Budapest	2000	2009.01.19
1320	Jármay Károly	Budapest	1986	2009.05.22
1321	Sztevan Mihaldzsity	Szigetcsép	2004	2012.08.30
1322	Klebelsberg Kuno	Kápolnásnyék	2015	2016.10.01
1323	Werbőczy István	Tápiószentmárton	2008	2016.05.23
1324	Borsos József	Debrecen	1977	2009.03.12
1325	Vörösmarty Mihály	Kápolnásnyék	1955	2009.07.29
1326	Petőfi Sándor	Szabadszállás	1948	2009.09.19
1327	Simor János	Esztergom	1886	2014.04.26
1328	Mindszenty József	Taksony	2009	2010.03.03
1329	Berzsenyi Dániel	Nikla	1976	2009.12.28
1330	Beszédes József	Szarvas	1970	2010.11.18
1331	Kossuth Zsuzsanna	Sátoraljaújhely	2017	2018.03.15
1332	Nagy László	Ajka	1980	2014.10.01
1333	Szent István	Soltvadkert	2016	2016.08.21
1334	Szendrey Júlia	Keszthely	1982	2011.10.07
1335	Dózsa György	Berettyóújfalu	1988	2009.03.21
1336	II. János Pál pápa	Baja	2014	2015.09.22
1337	Bedő Albert	Ásotthalom	2002	2015.10.14
1338	Böckh Hugó	Miskolc-Egyetemváros	1990	2009.11.10
1339	Jósa András	Nyíregyháza	1934	2009.08.22
1340	Petőfi Sándor	Nyíregyháza	1973	2010.11.05
1341	Kenézy Gyula	Debrecen	2015	2015.11.29
1342	Karácsonyi Guidó	Szeged	1965	2015.09.07
1343	József Attila	Szeged	1960	2013.01.07
1344	Gábor Dénes	Budapest	2000	2011.10.08
1345	Bajcsy-Zsilinszky Endre	Tarpa	1975	2011.09.12
1346	Bartoss Ferenc	Békéscsaba	2000	2009.12.11
1347	Gál János	Sopron	2017	2017.09.06
1348	Széchenyi István gróf	Szerencs	2009	2010.02.22
1349	Salvador Allende	Komló	1975	2018.01.02
1350	Baross Gábor	Debrecen	2006	2013.09.28
1351	Király Jenő	Hajdúböszörmény	1984	2009.06.26
1352	József Attila	Perbál	2005	2010.04.19
1353	Széchenyi István gróf	Kemendollár	2010	2018.07.11
1354	Luxemburgi Zsigmond	Hatvan	2014	2016.04.04
1355	Andrássy Gyula	Budapest	1899	2017.12.25
1356	Szakács Ferenc	Tiszalök	2009	2016.01.02
1357	Kossuth Lajos	Noszlop	2002	2009.01.02
1358	Buda Ernő	Zalaegerszeg	2006	2012.09.18
1359	Kabos Endre	Budapest		2014.11.25
1360	II. András	Ópusztaszer	2001	2010.05.13
1361	Szent István	Szany	2008	2013.04.02
1362	Béres József	Budapest	2008	2011.04.08
1363	Szent István	Újtelek		2016.07.11
1364	Kossuth Lajos	Pirtó	2003	2014.06.16
1365	Cholnoky Jenő	Keszthely	1969	2009.09.11
1366	Medgyaszay Vilma	Budapest	1974	2016.05.18
1367	Kerkápoly István	Kővágóörs	2017	2017.09.11
1368	Ujhelyi Imre	Szentlőrinc	1969	2011.10.25
1369	József Attilla	Budapest	2005	2017.11.14
1370	Dréta (János) Antal	Mezőfalva	2011	2011.05.24
1371	Karácsonyi János	Gyula	2003	2009.10.07
1372	Szurmay Sándor	Budapest	1917	2013.09.11
1373	Wigner Jenő	Göd	2007	2011.07.10
1374	Kinizsi Pál	Nagyvázsony	2007	2015.12.27
1375	Simonffy Emil	Debrecen	2007	2015.09.24
1376	Budai László	Felcsút	2014	2015.01.28
1377	Szentpétery Zsigmond	Budapest	1877	2011.02.14
1378	Szabolcs vezér	Pusztaszabolcs	2016	2016.10.29
1379	Kisfaludy Sándor	Sümeg	1870	2008.07.27
1380	Burgert Róbert	Bábolna	2003	2011.05.23
1381	Galamb József	Makó	2005	2016.02.22
1382	Hunyadi Mátyás	Visegrád	2000	2012.12.01
1383	Kováts József	Szeged	1996	2018.06.28
1384	Wass Albert	Csanádpalota	2013	2013.05.31
1385	Pető András	Budapest	1984	2009.12.29
1386	Berzsenyi Dániel	Egyházashetye	1970	2014.03.27
1387	Hank Olivér	Szarvas	1970	2010.11.30
1388	Szécsi Zsigmond	Sopron	1961	2010.09.29
1389	Ibsen	Békéscsaba	2010	2010.10.05
1390	Ságvári Endre	Tatabánya	1969	2009.10.05
1391	Gombaszögi Frida	Budapest	1928	2009.09.23
1392	Révész Imre	Kecskemét	1968	2008.05.11
1393	Mangold Henrik	Balatonfüred	1913	2011.05.05
1394	Kosztolányi László	Nagyhegyes	2017	2017.08.27
1395	Csonka János	Szeged		2018.11.18
1396	Lu Hszün	Kiskőrös	1987	2011.01.17
1397	II. Rákóczi Ferenc	Rajka	1963	2011.03.17
1398	Kossuth Lajos	Perkáta	1908	2009.06.30
1399	Széchenyi István gróf	Zirc	1995	2011.08.12
1400	Radnóti Miklós	Szeged	1972	2010.06.02
1401	Déry Tibor	Balatonfüred	1979	2008.07.06
1402	Dózsa György	Budapest	1972	2010.02.08
1403	Santiago Ramón y Cajal	Budapest	2013	2013.05.28
1404	III. András	Bölcske	2014	2015.03.01
1405	Grosics Gyula	Budapest	2016	2016.09.09
1406	Ujhelyi Imre	Budapest	1977	2008.07.26
1407	Hunyadi Mátyás	Tápiószentmárton	2008	2016.05.13
1408	Kölcsey Ferenc	Balatonfüred	1995	2010.07.20
1409	Katona József	Kecskemét	1861	2008.05.11
1410	Katona József	Szeged	1968	2008.07.02
1411	Teleki Blanka	Budapest	1958	2012.10.03
1412	Kilián György	Pápa	1988	2009.09.20
1413	Laki Kálmán	Abádszalók	2000	2009.08.17
1414	Lev Tolsztoj	Budapest	2017	2017.05.25
1415	Dévald József	Miskolc	2015	2015.10.24
1416	Zsigmond Ferenc	Kunhegyes	1986	2011.09.12
1417	Stojanovits Szilárd	Csorvás	1998	2010.08.09
1418	Pósa Lajos	Hódmezővásárhely	2010	2010.04.27
1419	Maywald József	Budapest	1930	2017.10.22
1420	Béri Balogh Ádám	Tamási	1980	2008.07.05
1421	Harruckern János György báró	Szentes	2008	2010.04.04
1422	IV. Béla	Sződ	2016	2016.10.08
1423	Pálfi János	Budapest	2005	2009.06.25
1424	Borbély Samu	Miskolc-Egyetemváros	2003	2014.08.03
1425	Petőfi Sándor	Debrecen		2013.08.03
1426	Szun Jung	Kiskőrös	1987	2011.01.17
1427	Kossuth Lajos	Bonyhád	1948	2008.05.02
1428	Arany János	Budapest	1912	2008.11.13
1429	Wass Albert	Szombathely	2006	2011.01.07
1430	Wosinsky Mór	Szekszárd	1993	2008.04.30
1431	Andrássy Gyula	Békéscsaba	2008	2015.03.15
1432	Szalay Mihály	Szarvas	1985	2018.11.20
1433	Nikolaus Lenau	Pécs	2012	2018.09.07
1434	Széchenyi István gróf	Hódmezővásárhely	2005	2010.06.12
1435	Láng Gyula	Vállaj	2014	2017.10.29
1436	Heim Pál	Pécs	1931	2008.01.22
1437	Arany János	Sopron	1997	2009.10.12
1438	Bocskai István	Ópusztaszer	2001	2010.05.16
1439	Réti István	Budapest	1937	2016.10.30
1440	Kvassay Jenő	Budapest	2002	2008.07.25
1441	Bethlen Gábor	Gáborján	1998	2012.08.13
1442	Adolf Kolping	Szekszárd	2005	2008.05.01
1443	Csontváry Kosztka Tivadar	Pécs	1977	2008.03.19
1444	Szent László	Debrecen	1987	2009.07.14
1445	Széchenyi Miklós gróf	Győr	1904	2012.10.10
1446	Fischer Ernő	Szeged	2007	2018.09.06
1447	Mindszenty József	Budapest		2018.01.12
1448	Móra Ferenc	Kiskunfélegyháza	1959	2009.10.01
1449	Petőfi Sándor	Gomba		2015.08.17
1450	Horn Gyula	Marcali	2013	2013.10.30
1451	Lenin	Szolnok	1968	2018.08.13
1452	Latabár Endre	Miskolc	1963	2011.01.05
1453	Kovács Ferenc	Budapest	2018	2018.05.13
1454	Bethlen Gábor	Gyomaendrőd	1991	2011.12.12
1455	Széchenyi István gróf	Zánka	2009	2010.12.09
1456	Györffy István	Karcag	1962	2009.05.02
1457	Molnár István	Budapest	1999	2012.06.07
1458	Kossuth Lajos	Nyíregyháza	1982	2010.08.05
1459	Reizner János	Szeged	1997	2007.08.03
1460	Felsőgyőri Nagy Iván	Horpács	2007	2010.05.06
1461	Radvánszky János	Vaja	1983	2008.09.16
1462	Kanizsa Tivadar	Szolnok	2013	2013.11.18
1463	Fekete Lajos	Sopron	1930	2010.10.25
1464	Horváth István	Mindszent	2015	2015.07.14
1465	Sike András	Budapest	1999	2012.07.04
1466	Wass Albert	Gödöllő	2006	2010.10.18
1467	József Attila	Debrecen	2005	2014.10.13
1468	Szamuely Tibor	Győr	1963	2013.07.21
1469	Szent Erzsébet	Keszthely	2013	2014.05.02
1470	Gárdonyi Géza	Pápa	1990	2009.09.04
1471	Móra Ferenc	Szeged	1990	2012.02.02
1472	Kerkai Jenő	Lakitelek	2014	2015.03.23
1473	Fekete István	Ajka	1980	2012.08.26
1474	Egry József	Zánka	2009	2010.12.08
1475	Anker Alfonz	Kaposvár	1984	2016.04.23
1476	Bárdos Lajos	Budapest	1988	2010.02.15
1477	Cholnoky Jenő	Veszprém	2014	2014.06.18
1478	Detre László	Budapest	1999	2011.12.29
1479	Láhner György	Veresegyház	2018	2018.10.07
1480	Beszédes József	Siófok	1963	2015.03.25
1481	Eötvös József báró	Kalocsa	2010	2010.05.25
1482	Gál Ferenc	Piliscsaba	2002	2012.03.03
1483	Kertbeny Károly	Kiskőrös	2001	2009.08.26
1484	Katona József	Kecskemét	1991	2009.12.02
1485	Otto Manninen	Kiskőrös	2004	2009.08.27
1486	Fazola Frigyes	Miskolc	1965	2014.07.14
1487	Für Lajos	Egyházasrádóc	2014	2014.12.21
1488	Trautsch Károly	Budapest		2014.01.07
1489	Lajtha László	Budapest	2015	2015.06.30
1490	Vásárhelyi Pál	Békéscsaba	1955	2008.11.21
1491	Tompa Mihály	Miskolc	1988	2009.11.08
1492	Komáromi János	Sárospatak	1969	2009.05.24
1493	Fekete István	Gölle	1999	2011.05.04
1494	Tóth Lajos	Budapest		2009.01.26
1495	Dózsa György	Kiskunmajsa	1977	2010.03.04
1496	Deák Ferenc	Badacsonytomaj-Badacsony	2018	2018.09.06
1497	Kanizsa Tivadar	Szolnok	1994	2011.04.02
1498	Beszédes József	Székesfehérvár	1973	2009.07.04
1499	Stoczek József	Budapest	1909	2014.07.22
1500	Tápai Antal	Szeged	1952	2012.01.27
1501	Polinszky Károly	Veszprém	2001	2011.08.11
1502	Kruspér István	Budapest	1918	2011.10.30
1503	Wass Albert	Budakeszi	2008	2009.10.13
1504	Szép Ernő	Hajdúszoboszló	1996	2010.03.16
1505	II. Rákóczi Ferenc	Nagykálló	2003	2009.12.30
1506	Ahn Eak Tai	Budapest	2012	2015.09.26
1507	Fekete István	Győr	2015	2015.10.15
1508	Szent Imre	Budapest	2007	2009.10.13
